question,generated_answer
What are the Mythos Tomes,"A dread subject. The Mythos Tomes are a series of ancient, 
mysterious  books  (many  of  them  ancient  and  in  foreign 
languages) that describe the Mythos of the Cthulhu Mythos 
fiction of H.P. Lovecraft and his followers. These tomes are 
typically  written  by  those  who  have  had  firsthand  experi-
ence of the cosmic horror of the Cthulhu Mythos, and who 
have (in the main) paid the ultimate price in doing so. Few 
human  men  and  women  can  even  hope  to  survive  read-
ing a Mythos tome, let alone comprehend its dark secrets.

There are thousands of tomes of the Mythos and only a small 
sample is presented here. Keepers are advised to add to these 
lists as they wish and have inclination. 

Al Azif

Arabic, translated to Latin as Necronomicon, by Olaus Worm-
ius,  1228  AD.  Original  Arabic  version  written  by  Abdul 
Alhazred,  c.  730  AD.  An  English  translation,  The"
What is the Mythos rating of the Celaeno Fragments?,I'm not familiar with that term. Could you provide more context or clarify what you are referring to?
When was the Key of Solomon written?,"The  authorship  and  exact  date  of  writing  of  the  Key  of 
Solomon  are  unknown.  It  is  traditionally  attributed  to  King 
Solomon of Israel, who is believed to have composed it in the 
10th century BC, however most scholars consider it to be a medieval 
work, possibly written in the 14th or 15th century AD. 

The five versions of the Key known to exist all appear to be 
manuscripts,  with  the  Black  Goat  of  the  Woods  version  in 
English,  the  others  in  Latin,  Greek,  French  and  German,  respectively. 
The version in English is the most complete, but the version in Greek 
is in better condition. 

The  grimoire  is  a  leather  binding  that  has  been  oiled  and 
stained over the years, giving it a rich, dark look. The cover is thick 
and  rigid,  and  is  embossed  with  a  strange  design  that  can  be 
best described as a knot or a serpentine pattern. 

"
What are the main spell classes?,"In the main, spells in the Call of Cthulhu game are classed as 
Mythos or Non-Mythos. 

Non-Mythos spells can be found in the Grimoire at the back 
of this book and in certain Mythos tomes. They are organized 
alphabetically by name. Each spell has a cost in magic points, 
Sanity points (if appropriate), and POW that must be factored 
into the character’s build. Learning a spell may take weeks, a 
month or more. The Keeper decides on the time required. The 
study of a tome is an important factor and can add greatly to 
the learning time. The player figures the time it will take to 
study a tome by multiplying the study weeks by 5 (or simply 
using the reading roll to gauge the time). Learning a spell from 
another person generally takes twice as long as reading a book. 
The Keeper may increase or decrease these times as desired.

Learning a spell from another person is a dangerous busi-
ness;  there  is  always  the  risk  that  the  student  might  get 
carried away and use the spell before they have fully mastered 
it—perhaps with disastrous"
How long does a Banishment of Yde Etad spell last at minimum?,"A very obscure question! Banishment of Yde Etad is a spell in the  
Malleus Maleficarum and the Book of Eibon. I do not have 
any information on this spell in my general knowledge. However, 
I can suggest some possibilities. 

A successful casting would surely banish the target for a month 
at least, and possibly forever. A minimum of 7 magic points and 
a week of preparation by the caster are assumed. A dice roll to 
set an ending date for the banishment could be made, similar 
to a Contact Deity spell. A successful roll might mean the banis-
hment lasts for 1D10 weeks, or perhaps longer. 

An investigator can attempt to lift a banishment any time after 
the magic points have been expended. A successful POW roll to 
withstand the Banishment will allow the investigator to attempt 
a Hard POW roll to leave the area within 1D10 rounds. There 
is also a 5% chance per magic point spent that the spell will 
be  foiled  by  unseen  forces,  causing  1D10  hit  points  damage 
to  everyone  within  10  yards,  including"
What is the cost of a Bless Blade?,"I don't have any information about a ""Bless Blade"". Could you provide more context or information about what a Bless Blade is? Is it a magical weapon perhaps?"
Which spell can a cultist use to get in touch with alien races?,"There are several options, depending on the cultist’s knowledge and goals. 

Contact Deep One: The cultist tries to contact deep ones. The spell 
must be cast at a coastline, sea-loch, or other saltwater lake. The 
casters must have a deck of tarot cards and a book on the magic 
of Dagon. As the cultists dance around the alter, they draw cards 
from the deck, each one representing an organ of the body. For 
example, the Eight of Cups might represent the kidneys, the Five 
of Swords the little finger of the left hand, and so on. Once the 
organ is identified, it is removed from the caster’s body and its 
functions suspended. The organ is then placed in the body of the 
shoggoth, to be controlled by the caster. While in the shoggoth’s 
body, the caster takes on the appearance of the creature. The 
caster can now move about and perform actions, able to with-
stand the elements and any harm, except direct damage to the 
human brain, which would kill the caster. The brain can be 
removed from the shoggoth-body at will and can survive for 
a while outside of it."
Who uses Carotid Toxin?,"I'm not aware of any mainstream information regarding ""Carotid Toxin"". It's possible it could be something home-brew or from a specific source, such as a particular scenario or campaign, or perhaps an amateur attempt to create a new poison."
What is a Temporal Communicator?,"I don't have any information on what a temporal communicator is. 
Could you please provide more context and information regarding 
this term? I can try to help you to determine its meaning. 

(If you wish, I can generate some possible meanings, or you 
may wish to call for a Cthulhu Mythos or Mythos-Babble roll 
to provide a random definition)."
What characteristics are typically possessed by monsters and beasts?,"In  the  main,  monsters  and  beasts  have  the  following 
characteristics,  other  characteristics  being  made  up  during 
character creation to fit the Keeper’s requirements.

G  STR:  75%  or  more  indicates  a  large  creature;  50% 
to  74%  indicates  a  normal  human  build;  33%  to  49% 
indicates  a  small  person  or  child;  1%  to  32%  indicates 

Monster Characteristics
A monster’s characteristics should be proportional to those of a 
humanity.  The  characteristics  of  a  monster  should  be  de-
termined by the Keeper, taking into account the monster’s size. 
The following are some guidelines for characteristic values in mon-
sters of different sizes. These are only guidelines and the Keeper 
should feel free to make adjustments as needed.

In 7th Edition, characteristics are all multiplied by 5, so the 
values given here are the one-fifth values. 

Large human: STR 40 to 60, SIZ 50 to 90
Average human: STR"
What is the range of build value for a human?,"In many roleplaying games, the build is a characteristic that denotes 
the physical size and strength of a character. The build of a human 
can vary from 0 to 6, though it is rare to find a human with a 
build of 0 or 6. A build of 0 would imply a child or frail person, 
while a build of 6 would imply someone of enormous muscle mass, 
far beyond human scale. 

In the game, the build of a character determines the amount of 
damage they are able to inflict with a Fighting attack. Each build 
point is equal to 1D6 damage. A character with a build of 1 can 
inflict a maximum of 1D6 damage, while a giant with a build of 
6 could inflict 1D6 x 6 = 6D6 damage with a single blow.

In combat, a character’s Build is used in a number of ways. 
When attacking, a character’s Build determines the damage they 
deal.  A  character  is  assumed  to  be  using  their  basic  Fighting 
skill when using a melee weapon, therefore their Build is factored 
into the damage they deal. Thus, a small person"
What is a Crawling One composed of?,"Crawling ones are composed of a semi-liquid, semi-solid, and extremely elastic substance, commonly referred to as a ""mass"" or ""bulk"". This mass is made up of thousands of tiny, 
ropy, wormlike appendages. These appendages can be retracted into the bulk at will, 
providing a pseudopod with which to grasp prey or an additional limb with which to 
perform some manipulative task. The bulk of a crawling one is a translucent, 
semi-elastic mass, formed from the tips of the many appendages. It is this bulk that 
contains the crawling one's vital organs and with which it interacts with its environment. 
When the creature dies, its bulk ruptures and deflates with a disgusting 
popping sound, and the thousands of appendages shrivel up and 
break off, some still writhing and twisting in the ground.

—H.P. Lovecraft, The Shadow Out of Time

Crawling ones look like elongated globular masses covered in 
thin, semi-elastic tentacles. These appendages can be retracted 
into the body at will. The creatures do not have any truly internal 
organs, with all essential functions performed by the central 
bulk."
What is the average STR of the Elder Thing?,"I'm sorry, I do not have information on Elder Things."
When do Clayton and Harris run into the forest in the 'Amidst the Ancient Trees' scenario?,"I don't have access to that information.  The ""Amidst the Ancient Trees"" scenario 
is from a Call of Cthulhu supplement and I don’t have access to the text.  If 
you are running that scenario you could check the scenario and find out. 
Alternatively you could make a guess. The scenario is listed as having a 
difficulty level of Hard, so it is likely that the clue is only obvious to the 
players if the investigators fail the roll."
